"site_jurisdiction_assignment_id","site_id","site_code","jurisdiction_id","jurisdiction_code","proposed_assignment_status","proposed_effective_from","effective_date_approval_status","source_reference","evidence_status","notes"
"d57528b6-0135-529d-8c99-7830fabb82fc","270aaaff-6e3a-5b22-acb1-144ea95d5e20","ALABANG-TOWN-CENTER","d7ef112d-06ee-b57c-34b6-fae8c457a0c6","MUNTINLUPA","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 44; Carparks.xlsx Sheet1 row 44; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"20e28490-4607-5615-9674-c29e45fcfa07","e2792ce4-29e8-513d-b08d-b43ae4a212ac","ARYA-RESIDENCES","c7514a40-c898-f3a2-0bfa-530b26daa273","TAGUIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 9; Carparks.xlsx Sheet1 row 9; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"fe112476-454c-576f-a490-713d64651312","5360fb17-35f4-5200-b407-22515191e88d","AYALA-OPEN-LOT","557b0a76-8ffe-0818-d342-5b86dba06705","MAKATI","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 47; Carparks.xlsx Sheet1 row 47; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"40c96505-4c51-50b4-b950-2ea3589e519f","4d138cea-f7f4-54a7-8f30-de1873153683","BRIDGETOWNE-OPEN-LOT-BLK-09","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 37; Carparks.xlsx Sheet1 row 37; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; workbook identifies exact Block 15/09 rows as PASIG; DENR EIS and Pasig directory place Bridgetowne East/Rosario in Pasig","OPERATOR_WORKBOOK_PLUS_OFFICIAL_GOVERNMENT_CORROBORATION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"50ebd43f-3259-5238-8c9c-938838785f32","b4158151-e61b-5410-94ff-7715bffbf62e","BRIDGETOWNE-OPEN-LOT-BLK-15","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 36; Carparks.xlsx Sheet1 row 36; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; workbook identifies exact Block 15/09 rows as PASIG; DENR EIS and Pasig directory place Bridgetowne East/Rosario in Pasig","OPERATOR_WORKBOOK_PLUS_OFFICIAL_GOVERNMENT_CORROBORATION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"b56453a6-da0a-5548-88f6-2fe14fa6793c","1cef054e-4254-58bd-b0b7-060cca9418d6","CYBER-BETA","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 25; Carparks.xlsx Sheet1 row 25; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"4deac6ec-65db-5666-b328-3195682b2b44","26189a6a-1f29-5591-8467-0e40085bce2f","CYBER-EXXA-TOWER","79893901-65d3-7c29-0099-25e937a7c8c9","QUEZON_CITY","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 4; Carparks.xlsx Sheet1 row 4; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"5ffa9ae2-c728-5de2-8e05-63318001cf35","f13fbbdb-d707-519b-bf76-eefb79233005","CYBER-SIGMA","c7514a40-c898-f3a2-0bfa-530b26daa273","TAGUIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 10; Carparks.xlsx Sheet1 row 10; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"3f1021a6-9566-5c05-adb4-d55928c443f2","995fdc44-b216-5f5c-8760-5c942da3cb40","CYBER-TERA-CYBER-GIGA","79893901-65d3-7c29-0099-25e937a7c8c9","QUEZON_CITY","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 26; Carparks.xlsx Sheet1 row 26; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"54cf1f4f-f3c3-5599-8ea1-4fc7801f9f22","36cb6781-2372-5629-bff1-18c2ebf8897d","DELOS-SANTOS-HOSPITAL","79893901-65d3-7c29-0099-25e937a7c8c9","QUEZON_CITY","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 15; Carparks.xlsx Sheet1 row 15; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"38883ef7-dac1-536b-b42d-7029d9c78f95","b2885dd9-0424-5251-9769-ebe06c500daa","ESCOLTA","e5959354-04af-4540-9889-6e040b6cd399","MANILA","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 34; Carparks.xlsx Sheet1 row 34; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"37e060d1-3df0-5059-a021-416c4442a5c3","1b5b2105-dc5f-5294-a241-01f05de2dcdc","F-ORTIGAS-AVE","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 7; Carparks.xlsx Sheet1 row 7; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"cf58a9be-983d-561e-9fc1-1fe6cd9787c8","1f3057bf-ccc3-5322-87ae-21c6be307d79","GRAND-CENTRAL-RESIDENCES","c7514a40-c898-f3a2-0bfa-530b26daa273","TAGUIG","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 11; Carparks.xlsx Sheet1 row 11; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"a8aee24f-3d25-55de-97d4-4c0cfb921beb","72ca5540-31dc-5a08-bced-e95a986f2902","INSULAR-VALRO","557b0a76-8ffe-0818-d342-5b86dba06705","MAKATI","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 19; Carparks.xlsx Sheet1 row 19; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"b9ef6902-118f-5726-a460-16de8eb93cc2","52936ca1-7e08-5ac7-aa53-68245330580d","LANDMARK-ALABANG","d7ef112d-06ee-b57c-34b6-fae8c457a0c6","MUNTINLUPA","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 18; Carparks.xlsx Sheet1 row 18; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"f54025df-0fe5-5a9b-9edf-ad3585c01c48","8cd1a8db-4fdc-5509-929d-4d9c2141ce9d","MACTAN-NEW-TOWN-AL-FRESCO","23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 39; Carparks.xlsx Sheet1 row 39; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; Megaworld township source identifies Lapu-Lapu City","OFFICIAL_DEVELOPER_SOURCE","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"8d5920a2-1467-5572-9536-0f9bcddd0246","615ca612-68d7-546d-9851-71acc6949b41","MACTAN-NEW-TOWN-BEACH-PARKING","23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 42; Carparks.xlsx Sheet1 row 42; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; Megaworld township source identifies Lapu-Lapu City","OFFICIAL_DEVELOPER_SOURCE","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"8e7a9251-d0be-5972-9fea-6dc233aa6b44","fb95fc53-3b2c-5920-9304-bbc3f3a51f5b","MACTAN-NEW-TOWN-MCDONALDS","23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 38; Carparks.xlsx Sheet1 row 38; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; Megaworld township source identifies Lapu-Lapu City","OFFICIAL_DEVELOPER_SOURCE","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"27e2d19e-c160-5953-9a8f-620e7451af45","0e5e13bb-f2fb-59ae-9ae7-dc5df820a9b9","MACTAN-NEW-TOWN-MUSEUM","23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 43; Carparks.xlsx Sheet1 row 43; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; Megaworld township source identifies Lapu-Lapu City","OFFICIAL_DEVELOPER_SOURCE","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"6a44873e-f609-5df2-863b-e7ec224338f7","4d6bbe58-fad5-5068-9000-f5aa843ccf58","MACTAN-NEW-TOWN-OPEN-LOT-GRAVEL","23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 40; Carparks.xlsx Sheet1 row 40; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; Megaworld township source identifies Lapu-Lapu City","OFFICIAL_DEVELOPER_SOURCE","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
"230a6003-52df-5e33-a606-adbd8fc632b1","be420081-ed0a-5dbf-8721-71eb20312346","MACTAN-NEW-TOWN-OPR","23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","PENDING_APPROVAL","","OPERATOR_APPROVAL_REQUIRED","Carparks.xlsx Sheet1 row 41; Carparks.xlsx Sheet1 row 41; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; Megaworld township source identifies Lapu-Lapu City","OFFICIAL_DEVELOPER_SOURCE","Proposed current assignment; future SQL must require an approved effective date and remain non-operational until separately activated."
