"site_id","site_code","site_name","original_site_name","site_group_id","site_group_code","source_workbook","source_sheet","source_row","original_location_label","jurisdiction_id","jurisdiction_code","jurisdiction_display_name","psgc_code","region_code","province_code","municipality_or_city_type","site_type","site_type_evidence_source_ids","site_type_classification_rationale","site_type_evidence_confidence","site_type_unresolved_ambiguity","location_evidence_status","location_source_url","location_source_reference","hikcentral_activation_candidacy","proposed_parking_lot_index_code","identity_review_status","proposed_site_status","public_lookup_enabled","payment_enabled","effective_from","timezone_name","currency_code","notes"
"2d1dcdf8-f563-537c-8542-0bde7cc9da97","PITX-LEVEL-3","PITX Level 3","PITX Level 3","a6dbadf6-68b5-5bed-a7e0-a75faee70841","PITX","Carparks.xlsx","Sheet1","2","PARANAQUE","f7a1b4b9-17a9-89de-5059-f72779616f23","PARANAQUE","City of Para̱aque","1381000000","NCR","","CITY","STRUCTURED_PARKING","SRC-WORKBOOK-CARPARKS;SRC-PITX","The explicit Level 3 facility qualifier and PITX third-floor parking evidence establish constructed structured parking.","HIGH","","OFFICIAL_OPERATOR_SOURCE","https://pitx.ph/contact-us/","Carparks.xlsx Sheet1 row 2; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; PITX official address and parking pages","PROPOSED_NOT_ACTIVATED","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"b336964f-3b84-5404-8690-97ead0929b1f","PITX-OPEN-LOT","PITX Open Lot","PITX OPEN Lot","a6dbadf6-68b5-5bed-a7e0-a75faee70841","PITX","Carparks.xlsx","Sheet1","3","PARANAQUE","f7a1b4b9-17a9-89de-5059-f72779616f23","PARANAQUE","City of Para̱aque","1381000000","NCR","","CITY","OPEN_LOT","SRC-WORKBOOK-CARPARKS;SRC-PITX","The operator-supplied Site identity explicitly says Open Lot; physical form overrides terminal context.","HIGH","","OFFICIAL_OPERATOR_SOURCE","https://pitx.ph/contact-us/","Carparks.xlsx Sheet1 row 3; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d; PITX official address and parking pages","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"26189a6a-1f29-5591-8467-0e40085bce2f","CYBER-EXXA-TOWER","Cyber Exxa Tower","CYBER EXXA TOWER","dd752741-9b2c-55dc-bcaa-f942db4779a9","CYBER-EXXA-TOWER","Carparks.xlsx","Sheet1","4","QUEZON CITY","79893901-65d3-7c29-0099-25e937a7c8c9","QUEZON_CITY","Quezon City","1381300000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site is an office-tower property, but the approved evidence does not establish a parking garage, mall, campus, terminal, or open-lot form.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381300000","Carparks.xlsx Sheet1 row 4; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"a37daf7e-b812-53dd-a3dd-b3889c375fb2","ROBINSONS-MALABON","Robinsons Malabon","ROBINSONS MALABON","65c40fb7-0129-5195-948e-46474c97197d","ROBINSONS-MALABON","Carparks.xlsx","Sheet1","5","MALABON","46a4b330-a065-daad-5de5-16654b67164f","MALABON","City of Malabon","1380400000","NCR","","CITY","MALL_PARKING","SRC-WORKBOOK-CARPARKS","The operator Site identity is the Robinsons Malabon retail-mall carpark; no more specific physical form is supplied.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1380400000","Carparks.xlsx Sheet1 row 5; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"0d5b8df7-f4e3-58bf-a768-e6c3378f6b92","TEKTITE-TOWERS","Tektite Towers","TEKTITE TOWERS","735b0faa-b930-5fb4-a8da-d8bd9c544691","TEKTITE-TOWERS","Carparks.xlsx","Sheet1","6","PASIG","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","City of Pasig","1381200000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site serves an office-tower property, a facility category not otherwise represented by the enum, with no approved physical-form qualifier.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381200000","Carparks.xlsx Sheet1 row 6; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"1b5b2105-dc5f-5294-a241-01f05de2dcdc","F-ORTIGAS-AVE","F. Ortigas Ave.","F. ORTIGAS AVE.","554980d2-6f8f-59e5-a04c-b6d1a663149a","F-ORTIGAS-AVE","Carparks.xlsx","Sheet1","7","PASIG","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","City of Pasig","1381200000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site is identified by a street location; no approved evidence establishes an open lot or constructed parking form.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381200000","Carparks.xlsx Sheet1 row 7; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"d1ccd074-2fe9-570f-b9d7-03970bbc6e8e","MERALCO-AVE","Meralco Ave.","MERALCO AVE.","5c768693-ab14-58cc-b678-684ce85280ad","MERALCO-AVE","Carparks.xlsx","Sheet1","8","PASIG","20650612-8f91-3b4a-bba8-5d8afe29ef5a","PASIG","City of Pasig","1381200000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site is identified by a street location; no approved evidence establishes an open lot or constructed parking form.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381200000","Carparks.xlsx Sheet1 row 8; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"e2792ce4-29e8-513d-b08d-b43ae4a212ac","ARYA-RESIDENCES","Arya Residences","ARYA RESIDENCES","15247658-8f68-5be4-9468-413d6f6f5b20","ARYA-RESIDENCES","Carparks.xlsx","Sheet1","9","TAGUIG","c7514a40-c898-f3a2-0bfa-530b26daa273","TAGUIG","City of Taguig","1381500000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site serves a residential property, a facility category not otherwise represented by the enum, with no approved physical-form qualifier.","HIGH","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381500000","Carparks.xlsx Sheet1 row 9; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"f13fbbdb-d707-519b-bf76-eefb79233005","CYBER-SIGMA","Cyber Sigma","CYBER SIGMA","25df41c5-ef63-5e24-8b0c-a31cf14029d6","CYBER-SIGMA","Carparks.xlsx","Sheet1","10","TAGUIG","c7514a40-c898-f3a2-0bfa-530b26daa273","TAGUIG","City of Taguig","1381500000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site is an office-property carpark with no approved physical-form or broader campus classification.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381500000","Carparks.xlsx Sheet1 row 10; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"1f3057bf-ccc3-5322-87ae-21c6be307d79","GRAND-CENTRAL-RESIDENCES","Grand Central Residences","GRAND CENTRAL RESIDENCES","3faeb9ad-a8d1-5478-94f8-31e78adb8567","GRAND-CENTRAL-RESIDENCES","Carparks.xlsx","Sheet1","11","TAGUIG","c7514a40-c898-f3a2-0bfa-530b26daa273","TAGUIG","City of Taguig","1381500000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The confirmed Site serves a residential property, a facility category not otherwise represented by the enum, with no approved physical-form qualifier.","HIGH","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1381500000","Carparks.xlsx Sheet1 row 11; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
"877d773f-b07c-5c0a-bef3-6983ddc2c767","ROCKWELL-PPM","Rockwell PPM","ROCKWELL PPM","e2d55745-c646-563b-98a7-95c20eea184d","ROCKWELL-PPM","Carparks.xlsx","Sheet1","12","MAKATI","557b0a76-8ffe-0818-d342-5b86dba06705","MAKATI","City of Makati","1380300000","NCR","","CITY","OTHER","SRC-WORKBOOK-CARPARKS","The approved operator abbreviation confirms the Site identity but does not, by itself, establish one of the more specific physical or property-context enum values.","MEDIUM","","OPERATOR_WORKBOOK_AND_CANONICAL_JURISDICTION","https://psa.gov.ph/classification/psgc/barangays/1380300000","Carparks.xlsx Sheet1 row 12; exitpassdb_v1.2 objects/reference-data/sites.philippine-lgus.seed.sql at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NOT_PROPOSED","","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","2026-08-13T00:00:00+08:00","Asia/Manila","PHP","Canonical catalog validity begins at the approved effective_from; DRAFT status and disabled operational controls remain authoritative."
