"source_id","source_type","title","filename_or_url","repository_path","sha256","publisher","publication_date","access_date","primary_or_secondary","authority_classification","scope","limitations","rows_or_decisions_supported"
"SRC-WORKBOOK-CARPARKS","OPERATOR_SUPPLIED_WORKBOOK","Carpark catalog","Carparks.xlsx","","63c20cd3aba3e13d6f9fc022083507c0bc43a2ab9c751e9084dd19c59969359a","Operator supplied","","2026-08-12","BUSINESS_SOURCE","OPERATOR_SUPPLIED_BUSINESS_DATA_NOT_LEGAL_AUTHORITY","Site Group, Site, and operator-supplied city labels","Not legal authority; retained outside Git.","All 46 Site rows and 39 normalized Site Groups"
"SRC-CANONICAL-DB","REPOSITORY","Canonical Philippine jurisdiction and statutory-policy reference data","","D:\SourceCodes\exitpassdb_v1.2 at 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","","ExitPass","","2026-08-12","CURRENT_REPOSITORY_AUTHORITY","CANONICAL_IMPLEMENTED_REFERENCE_DATA","Jurisdiction IDs, PSGC, classifications, regions, metropolitan memberships, policy research mappings","Policy mappings preserve source-quality limits and do not themselves authorize publication.","All jurisdiction assignments and all 26 policy coverage rows"
"SRC-PSA-PSGC","OFFICIAL_WEB","Philippine Standard Geographic Code jurisdiction records","https://psa.gov.ph/classification/psgc/","","","Philippine Statistics Authority","2026-06-30","2026-08-12","PRIMARY","OFFICIAL_JURISDICTION_AUTHORITY","Current 10-digit PSGC, official jurisdiction names, and HUC classifications","Property addresses require separate evidence.","All 13 represented jurisdictions"
"SRC-PSA-LAPU-LAPU","OFFICIAL_WEB","City of Lapu-Lapu PSGC record","https://psa.gov.ph/classification/psgc/barangays/0731100000","","","Philippine Statistics Authority","2026-06-30","2026-08-12","PRIMARY","OFFICIAL_JURISDICTION_AUTHORITY","PSGC 0731100000 and correspondence code 072226000","Does not establish individual property address.","Mactan New Town rows 38-43 and canonical correction verification"
"SRC-MACTAN-NEWTOWN","OFFICIAL_DEVELOPER_WEB","The Mactan Newtown","https://www.megaworldcorp.com/townships/the-mactan-newtown","","","Megaworld Corporation","","2026-08-12","PRIMARY_PROPERTY_SOURCE","PROPERTY_LOCATION_EVIDENCE","Mactan Newtown township in Lapu-Lapu City","Property source, not jurisdiction or legal-policy authority.","Workbook rows 38-43"
"SRC-PITX","OFFICIAL_OPERATOR_WEB","PITX contact and parking information","https://pitx.ph/contact-us/ | https://pitx.ph/passengers-guide/transport/","","","Para̱aque Integrated Terminal Exchange","","2026-08-12","PRIMARY_PROPERTY_SOURCE","PROPERTY_LOCATION_AND_PARKING_EVIDENCE","PITX Para̱aque address and third-floor parking","Operator source, not legal-policy authority.","Workbook rows 2-3; PITX Level 3 candidate"
"SRC-BRIDGETOWNE-EAST","OFFICIAL_GOVERNMENT_DOCUMENT","Le Pont Residences Environmental Impact Statement","https://ncr.emb.gov.ph/wp-content/uploads/2023/11/EIS_LE-PONT-RESIDENCES.pdf","","","DENR Environmental Management Bureau NCR","2023","2026-08-12","PRIMARY","OFFICIAL_PROJECT_LOCATION_EVIDENCE","Bridgetowne C5 Pasig / Bridgetowne East location","Does not expose the operator internal Block 09/15 labels; those exact labels come from the workbook.","Workbook rows 36-37"
"SRC-PASIG-BRIDGETOWNE","OFFICIAL_LGU_WEB","Pasig City office directory","https://pasigcity.gov.ph/about-pasig-city/directory","","","City Government of Pasig","","2026-08-12","PRIMARY","OFFICIAL_LOCAL_LOCATION_EVIDENCE","Temporary Pasig City Hall at Bridgetowne, Rosario, Pasig City","Corroborates the Pasig-side estate; exact block numbers remain operator workbook identifiers.","Workbook rows 36-37"
"SRC-BRIDGETOWNE-WEST","OFFICIAL_GOVERNMENT_DOCUMENT","Bridgetowne One Office Building Project Description for Scoping","https://iis.emb.gov.ph/embis/dms/documents/fileviewer2/2026/NCR/202615014082/NCR2026-FT1N14082-File_2.pdf","","","DENR Environmental Management Bureau","2026","2026-08-12","PRIMARY","OFFICIAL_PROJECT_LOCATION_EVIDENCE","Bridgetowne West, Ugong Norte, Quezon City","Used to prove Site Group cross-jurisdiction risk, not to relocate workbook Blocks 09/15.","Bridgetowne cross-jurisdiction topology decision"
"SRC-TALAMBAN","OFFICIAL_GOVERNMENT_REGISTRY","FDA drugstore registry","https://verification.fda.gov.ph/DRUGSTORElist.php?start=21981","","","Food and Drug Administration Philippines","","2026-08-12","PRIMARY_REGISTRY","OFFICIAL_PROPERTY_ADDRESS_CORROBORATION","Talamban Times Square, Gov. M. Cuenco Ave., Cebu City","Tenant licensing record, not property ownership or legal-policy authority.","Workbook row 45"
