"jurisdiction_id","jurisdiction_code","jurisdiction_display_name","entitlement_type","parking_policy_identified","benefit_type","free_period_minutes","discount_percent","residency_scope","documentary_requirements_summary","policy_effective_from","policy_effective_to","ordinance_or_authority_reference","ordinance_number_status","primary_source_url","secondary_source_url","repository_source_reference","source_quality_classification","operational_verification_status","legal_review_status","proposed_seed_eligibility","proposed_runtime_publication_eligibility","manual_review_required","conflict_summary","notes"
"42689eb0-66a8-04bb-96fd-c8d32caad475","CEBU_CITY","City of Cebu","PWD","TRUE","FREE_PARKING","","","UNKNOWN","","","","Ordinance No. 2711","IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","CONFLICTING_EVIDENCE","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","Repository research mapping records unresolved duration and applicability details.","No executable values are proposed."
"42689eb0-66a8-04bb-96fd-c8d32caad475","CEBU_CITY","City of Cebu","SENIOR_CITIZEN","TRUE","FREE_PARKING","","","UNKNOWN","","","","Ordinance No. 2326","IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","CONFLICTING_EVIDENCE","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","Repository research mapping records unresolved duration and applicability details.","No executable values are proposed."
"2ebef844-416b-c827-357c-742d2c8d56aa","DAVAO_CITY","Davao City","PWD","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"2ebef844-416b-c827-357c-742d2c8d56aa","DAVAO_CITY","Davao City","SENIOR_CITIZEN","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","City of Lapu-Lapu","PWD","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"23104fc9-a144-381c-4347-ccb2aa1a2998","LAPU_LAPU","City of Lapu-Lapu","SENIOR_CITIZEN","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"557b0a76-8ffe-0818-d342-5b86dba06705","MAKATI","City of Makati","PWD","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"557b0a76-8ffe-0818-d342-5b86dba06705","MAKATI","City of Makati","SENIOR_CITIZEN","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"46a4b330-a065-daad-5de5-16654b67164f","MALABON","City of Malabon","PWD","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
"46a4b330-a065-daad-5de5-16654b67164f","MALABON","City of Malabon","SENIOR_CITIZEN","FALSE","","","","","","","","","NOT_IDENTIFIED","","","objects/reference-data/discounts.statutory-parking-policy-research-mappings.seed.sql at exitpassdb_v1.2 1e307c2bd56c2738a92cdd87571f6caeeaf07b3d","NO_LOCAL_PARKING_SPECIFIC_POLICY_IDENTIFIED","NOT_APPLICABLE","LEGAL_REVIEW_REQUIRED","NOT_ELIGIBLE","NOT_ELIGIBLE","TRUE","","No local parking-specific policy was identified in retained canonical research; national statutory benefits are a separate question."
